column,Row Order,O-BEE MANFRED JUSTICE,JOCKO BESN,HA-HO CUBBY MANFRED-ET,PICSTON SHOTTLE,TO-MAR BLACKSTAR ET,BRAEDALE GOLDWYN,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,ELITE MOUNTAIN DONOR IMP (E_T),MADAWASKA AEROSTAR,Q250 BESNE BUCK,OSDEL-ENDEAVOR BOVA CUBBY,SINGING-BROOK N-B MASCOT ET,BIS-MAY S-E-L MOUNTAIN ET,MAUGHLIN STORM,HANOVERHILL STARBUCK,MARA-THON BW MARSHALL,SHOREMAR JAMES,A RONNYBROOK PRELUDE ET,SOUTHWIND BELL OF BAR-LEE,LADINO PARK TALENT-IMP-ET,ELITE GOLD BULLION-IMP-ET,GIBBON,HILL VALLEY BASAR ACME,MJR BLACKSTAR EMORY-ET,MAIZEFIELD BELLWOOD - (E_T_),BASAR,WALKWAY CHIEF MARK,LEKKER VALIANT ROYALTY,STARTMORE RUDOLPH,NORRIELAKE CLEITUS LUKE TWIN,BIS-MAY TRADITION CLEITUS,A MARK CJ GILBROOK GRAND ET,CARLIN-M IVANHOE BELL,RAMOS,ETAZON ADDISON,AG-HIGH SIGHTS BS INGOT-ET,DIXIE-LEE AARON -ET,ETAZON CELSIUS,WHITTIER-FARMS NED BOY,SHEN-VAL NV LM FORMATION-ET,FATAL,HOW-EL-ACRES K BELLMAN ET,BELT,ROTHROCK TRADITION LEADMAN,ROCKALLI SON OF BOVA,TESK-HOLM VALIANT ROCKIE,SHOREMAR PERFECT STAR (ET),EMERALD-ACRES-SA TONIC ET,CAL-CLARK BOARD CHAIRMAN
SEAGULL-BAY SUPERSIRE - 7H11351,30,0.958620686,0,0.325515858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03586013,0,0,0,0,0,0.060689307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CALEB - USEAGE,31,0,0,0,0,0,0,0,0,0.504827454,0.09379011,0,0,0.199993397,0.186202587,0.086205801,0.048963624,0,0,0,0,0.209655191,0,0,0,0,0,0,0,0.029653454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY ROAD ROUMARE CANBEE - CANBEE,32,0,0.747585743,0,0,0,0,0,0,0,0,0.184824425,0,0,0,0,0.048963624,0,0,0,0.059308143,0,0,0.037930729,0.107586216,0,0,0.073792624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017240277,0,0,0,0.013792398,0,0
PENN-ENGLAND ISADOR - 29HO16319,33,0.958620686,0,0.325515858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSS R STRAVAGANZA S1F - CRVSTRAVA,34,0,0.747585743,0,0,0,0,0,0,0,0,0.184824425,0,0.199993397,0,0,0.048963624,0,0,0,0.059308143,0,0,0.037930729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,35,0,0.73930988,0,0,0,0,0.139309916,0,0,0,0.182755415,0,0,0,0,0,0,0,0.03586013,0,0,0,0.035861719,0,0,0,0,0,0,0.019309817,0,0,0,0,0,0,0,0,0,0,0.048274719,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,36,0,0,0,0.59034488,0.184131282,0,0.147585779,0,0,0.09379011,0,0,0,0,0,0.049653235,0,0,0.03792914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032412957,0,0,0,0.019309464,0,0,0,0,0,0,0
EDELWEISS - EDELWEISS,37,0,0.73930988,0,0,0.184131282,0,0,0,0,0,0.182755415,0,0,0,0,0,0,0,0,0,0,0,0.035861719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LADYS-MANOR PL SHAMROCK - 7HO10849,38,0,0,0,0.557241429,0.184131282,0,0.139309916,0,0,0.091721101,0,0,0,0,0,0,0,0,0.03586013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEAR-ECHO ALTAROTOR - 11HO10667,39,0,0,0,0.557241429,0.184131282,0,0.139309916,0,0,0.091721101,0,0,0,0,0,0,0,0,0.03586013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
